in:LabR[%],in:FFR [%],in:UnderGrnd [%],in:GlzR [%],in:Uvalue [IP],in:HVAC,in:HeatRecov,in:LabACH,in:Plant,out:PeakCool [Btu/h-sf],out:PeakHeat [Btu/h-sf],out:EUI [kBtu/sf],img
60,45,50,40,0.25,VAV,Glycol,4/2,Campus,15.467522,5.953426,77.993722,45045601_R4.png
40,55,50,40,0.25,VAV,Glycol,4/2,Campus,13.315033,5.73902,62.904782,45055401_R4.png
50,55,50,40,0.25,VAV,Glycol,4/2,Campus,14.518809,5.939883,70.736935,45055501_R4.png
60,55,50,40,0.25,VAV,Glycol,4/2,Campus,15.722585,6.140747,78.569089,45055601_R4.png
40,35,10,60,0.25,VAV,Glycol,4/2,Campus,14.886698,6.60284,64.634915,61035401_R4.png
50,35,10,60,0.25,VAV,Glycol,4/2,Campus,16.056801,6.806012,72.361671,61035501_R4.png
60,35,10,60,0.25,VAV,Glycol,4/2,Campus,17.226903,7.009184,80.08843,61035601_R4.png
40,45,10,60,0.25,VAV,Glycol,4/2,Campus,15.746014,7.133454,66.400129,61045401_R4.png
50,45,10,60,0.25,VAV,Glycol,4/2,Campus,16.823994,7.281518,73.933919,61045501_R4.png
60,45,10,60,0.25,VAV,Glycol,4/2,Campus,17.901974,7.429581,81.467706,61045601_R4.png
40,55,10,60,0.25,VAV,Glycol,4/2,Campus,16.591408,7.657429,68.255719,61055401_R4.png
50,55,10,60,0.25,VAV,Glycol,4/2,Campus,17.578746,7.751077,75.588543,61055501_R4.png
60,55,10,60,0.25,VAV,Glycol,4/2,Campus,18.566084,7.844724,82.921368,61055601_R4.png
40,35,30,60,0.25,VAV,Glycol,4/2,Campus,14.254355,6.17917,63.635322,63035401_R4.png
50,35,30,60,0.25,VAV,Glycol,4/2,Campus,15.508975,6.426846,71.499826,63035501_R4.png
60,35,30,60,0.25,VAV,Glycol,4/2,Campus,16.763595,6.674522,79.364333,63035601_R4.png
40,45,30,60,0.25,VAV,Glycol,4/2,Campus,14.910784,6.59366,64.994426,63045401_R4.png
50,45,30,60,0.25,VAV,Glycol,4/2,Campus,16.095197,6.798419,72.711192,63045501_R4.png
60,45,30,60,0.25,VAV,Glycol,4/2,Campus,17.27961,7.003177,80.427956,63045601_R4.png
40,55,30,60,0.25,VAV,Glycol,4/2,Campus,15.555305,7.002926,66.423978,63055401_R4.png
50,55,30,60,0.25,VAV,Glycol,4/2,Campus,16.670211,7.165311,73.985587,63055501_R4.png
60,55,30,60,0.25,VAV,Glycol,4/2,Campus,17.785118,7.327697,81.547197,63055601_R4.png
40,35,50,60,0.25,VAV,Glycol,4/2,Campus,13.622012,5.7555,62.63573,65035401_R4.png
50,35,50,60,0.25,VAV,Glycol,4/2,Campus,14.96115,6.04768,70.637982,65035501_R4.png
60,35,50,60,0.25,VAV,Glycol,4/2,Campus,16.300288,6.33986,78.640235,65035601_R4.png
40,45,50,60,0.25,VAV,Glycol,4/2,Campus,14.075554,6.053866,63.588721,65045401_R4.png
50,45,50,60,0.25,VAV,Glycol,4/2,Campus,15.3664,6.315319,71.488465,65045501_R4.png
60,45,50,60,0.25,VAV,Glycol,4/2,Campus,16.657246,6.576773,79.388206,65045601_R4.png
40,55,50,60,0.25,VAV,Glycol,4/2,Campus,14.519201,6.348422,64.592239,65055401_R4.png
50,55,50,60,0.25,VAV,Glycol,4/2,Campus,15.761676,6.579546,72.382633,65055501_R4.png
60,55,50,60,0.25,VAV,Glycol,4/2,Campus,17.004151,6.810669,80.173027,65055601_R4.png
40,35,10,80,0.25,VAV,Glycol,4/2,Campus,16.171539,7.259993,66.493852,81035401_R4.png
50,35,10,80,0.25,VAV,Glycol,4/2,Campus,17.365523,7.486497,74.182464,81035501_R4.png
60,35,10,80,0.25,VAV,Glycol,4/2,Campus,18.559508,7.713,81.871076,81035601_R4.png
40,45,10,80,0.25,VAV,Glycol,4/2,Campus,17.225571,7.894689,68.725099,81045401_R4.png
50,45,10,80,0.25,VAV,Glycol,4/2,Campus,18.307284,8.055272,76.170629,81045501_R4.png
60,45,10,80,0.25,VAV,Glycol,4/2,Campus,19.388998,8.215855,83.616157,81045601_R4.png
40,55,10,80,0.25,VAV,Glycol,4/2,Campus,18.258487,8.519768,71.101391,81055401_R4.png
50,55,10,80,0.25,VAV,Glycol,4/2,Campus,19.229842,8.615433,78.293961,81055501_R4.png
60,55,10,80,0.25,VAV,Glycol,4/2,Campus,20.201196,8.711098,85.48653,81055601_R4.png
40,35,30,80,0.25,VAV,Glycol,4/2,Campus,15.354083,6.747815,65.182587,83035401_R4.png
50,35,30,80,0.25,VAV,Glycol,4/2,Campus,16.652381,7.028019,73.042779,83035501_R4.png
60,35,30,80,0.25,VAV,Glycol,4/2,Campus,17.950678,7.308223,80.902972,83035601_R4.png
40,45,30,80,0.25,VAV,Glycol,4/2,Campus,16.161959,7.243258,66.904161,83045401_R4.png
50,45,30,80,0.25,VAV,Glycol,4/2,Campus,17.374378,7.472135,74.577636,83045501_R4.png
60,45,30,80,0.25,VAV,Glycol,4/2,Campus,18.586796,7.701012,82.251111,83045601_R4.png
40,55,30,80,0.25,VAV,Glycol,4/2,Campus,16.95233,7.73116,68.738704,83055401_R4.png
50,55,30,80,0.25,VAV,Glycol,4/2,Campus,18.079907,7.909496,76.216583,83055501_R4.png
60,55,30,80,0.25,VAV,Glycol,4/2,Campus,19.207484,8.087832,83.694461,83055601_R4.png
40,35,50,80,0.25,VAV,Glycol,4/2,Campus,14.536628,6.235637,63.871324,85035401_R4.png
50,35,50,80,0.25,VAV,Glycol,4/2,Campus,15.939238,6.569542,71.903096,85035501_R4.png
60,35,50,80,0.25,VAV,Glycol,4/2,Campus,17.341849,6.903447,79.934869,85035601_R4.png
40,45,50,80,0.25,VAV,Glycol,4/2,Campus,15.098347,6.591827,65.08322,85045401_R4.png
50,45,50,80,0.25,VAV,Glycol,4/2,Campus,16.441471,6.888998,72.984643,85045501_R4.png
60,45,50,80,0.25,VAV,Glycol,4/2,Campus,17.784594,7.18617,80.886065,85045601_R4.png
40,55,50,80,0.25,VAV,Glycol,4/2,Campus,15.646173,6.942552,66.376017,85055401_R4.png
50,55,50,80,0.25,VAV,Glycol,4/2,Campus,16.929972,7.203559,74.139203,85055501_R4.png
60,55,50,80,0.25,VAV,Glycol,4/2,Campus,18.213771,7.464566,81.902392,85055601_R4.png
40,35,10,20,0.4,VAV,Glycol,4/2,Campus,12.437126,5.69399,62.603295,21035401_R4.png
50,35,10,20,0.4,VAV,Glycol,4/2,Campus,13.575351,5.86525,70.462608,21035501_R4.png
60,35,10,20,0.4,VAV,Glycol,4/2,Campus,14.713577,6.03651,78.321921,21035601_R4.png
40,45,10,20,0.4,VAV,Glycol,4/2,Campus,12.753602,6.077882,63.432436,21045401_R4.png
50,45,10,20,0.4,VAV,Glycol,4/2,Campus,13.848823,6.209295,71.187,21045501_R4.png
60,45,10,20,0.4,VAV,Glycol,4/2,Campus,14.944044,6.340708,78.94156,21045601_R4.png
40,55,10,20,0.4,VAV,Glycol,4/2,Campus,13.018636,6.45844,64.356916,21055401_R4.png
50,55,10,20,0.4,VAV,Glycol,4/2,Campus,14.069657,6.550355,71.992953,21055501_R4.png
60,55,10,20,0.4,VAV,Glycol,4/2,Campus,15.120678,6.64227,79.628991,21055601_R4.png
40,35,30,20,0.4,VAV,Glycol,4/2,Campus,12.143739,5.392904,61.977766,23035401_R4.png
50,35,30,20,0.4,VAV,Glycol,4/2,Campus,13.322218,5.595913,69.926017,23035501_R4.png
60,35,30,20,0.4,VAV,Glycol,4/2,Campus,14.500697,5.798923,77.874269,23035601_R4.png
40,45,30,20,0.4,VAV,Glycol,4/2,Campus,12.377959,5.693277,62.608812,23045401_R4.png
50,45,30,20,0.4,VAV,Glycol,4/2,Campus,13.524434,5.865239,70.477939,23045501_R4.png
60,45,30,20,0.4,VAV,Glycol,4/2,Campus,14.670908,6.037202,78.347064,23045601_R4.png
40,55,30,20,0.4,VAV,Glycol,4/2,Campus,12.571089,5.990996,63.314168,23055401_R4.png
50,55,30,20,0.4,VAV,Glycol,4/2,Campus,13.684178,6.132188,71.092258,23055501_R4.png
60,55,30,20,0.4,VAV,Glycol,4/2,Campus,14.797268,6.27338,78.870349,23055601_R4.png
40,35,50,20,0.4,VAV,Glycol,4/2,Campus,11.850352,5.091817,61.352238,25035401_R4.png
50,35,50,20,0.4,VAV,Glycol,4/2,Campus,13.069084,5.326577,69.389427,25035501_R4.png
60,35,50,20,0.4,VAV,Glycol,4/2,Campus,14.287817,5.561337,77.426618,25035601_R4.png
40,45,50,20,0.4,VAV,Glycol,4/2,Campus,12.002317,5.308672,61.785188,25045401_R4.png
50,45,50,20,0.4,VAV,Glycol,4/2,Campus,13.200045,5.521184,69.768879,25045501_R4.png
60,45,50,20,0.4,VAV,Glycol,4/2,Campus,14.397772,5.733695,77.752568,25045601_R4.png
40,55,50,20,0.4,VAV,Glycol,4/2,Campus,12.123542,5.523552,62.271421,25055401_R4.png
50,55,50,20,0.4,VAV,Glycol,4/2,Campus,13.2987,5.714022,70.191562,25055501_R4.png
60,55,50,20,0.4,VAV,Glycol,4/2,Campus,14.473857,5.904491,78.111704,25055601_R4.png
40,35,10,40,0.4,VAV,Glycol,4/2,Campus,13.711372,6.800102,64.655106,41035401_R4.png
50,35,10,40,0.4,VAV,Glycol,4/2,Campus,14.866758,7.010926,72.446342,41035501_R4.png
60,35,10,40,0.4,VAV,Glycol,4/2,Campus,16.022144,7.221751,80.23758,41035601_R4.png
40,45,10,40,0.4,VAV,Glycol,4/2,Campus,14.288567,7.363325,66.548056,41045401_R4.png
50,45,10,40,0.4,VAV,Glycol,4/2,Campus,15.373174,7.515689,74.161705,41045501_R4.png
60,45,10,40,0.4,VAV,Glycol,4/2,Campus,16.457782,7.668053,81.775351,41045601_R4.png
40,55,10,40,0.4,VAV,Glycol,4/2,Campus,14.938394,7.919644,68.302835,41055401_R4.png
50,55,10,40,0.4,VAV,Glycol,4/2,Campus,15.952467,8.014267,75.726712,41055501_R4.png
60,55,10,40,0.4,VAV,Glycol,4/2,Campus,16.96654,8.10889,83.15059,41055601_R4.png
40,35,30,40,0.4,VAV,Glycol,4/2,Campus,13.246219,6.350186,63.703208,43035401_R4.png
50,35,30,40,0.4,VAV,Glycol,4/2,Campus,14.465895,6.608212,71.630909,43035501_R4.png
60,35,30,40,0.4,VAV,Glycol,4/2,Campus,15.685571,6.866238,79.55861,43035601_R4.png
40,45,30,40,0.4,VAV,Glycol,4/2,Campus,13.683221,6.790039,65.16166,43045401_R4.png
50,45,30,40,0.4,VAV,Glycol,4/2,Campus,14.84929,7.00254,72.953584,43045501_R4.png
60,45,30,40,0.4,VAV,Glycol,4/2,Campus,16.015359,7.215041,80.745507,43045601_R4.png
40,55,30,40,0.4,VAV,Glycol,4/2,Campus,14.175634,7.224462,66.512805,43055401_R4.png
50,55,30,40,0.4,VAV,Glycol,4/2,Campus,15.287835,7.392003,74.158277,43055501_R4.png
60,55,30,40,0.4,VAV,Glycol,4/2,Campus,16.400037,7.559545,81.803751,43055601_R4.png
40,35,50,40,0.4,VAV,Glycol,4/2,Campus,12.781066,5.900271,62.751309,45035401_R4.png
50,35,50,40,0.4,VAV,Glycol,4/2,Campus,14.065032,6.205497,70.815473,45035501_R4.png
60,35,50,40,0.4,VAV,Glycol,4/2,Campus,15.348998,6.510724,78.879639,45035601_R4.png
40,45,50,40,0.4,VAV,Glycol,4/2,Campus,13.077875,6.216754,63.775263,45045401_R4.png
50,45,50,40,0.4,VAV,Glycol,4/2,Campus,14.325406,6.489391,71.745464,45045501_R4.png
60,45,50,40,0.4,VAV,Glycol,4/2,Campus,15.572936,6.762029,79.715661,45045601_R4.png
40,55,50,40,0.4,VAV,Glycol,4/2,Campus,13.412874,6.529279,64.722775,45055401_R4.png
50,55,50,40,0.4,VAV,Glycol,4/2,Campus,14.623204,6.769739,72.589843,45055501_R4.png
60,55,50,40,0.4,VAV,Glycol,4/2,Campus,15.833535,7.0102,80.456913,45055601_R4.png
40,35,10,60,0.4,VAV,Glycol,4/2,Campus,15.031663,7.869629,67.541902,61035401_R4.png
50,35,10,60,0.4,VAV,Glycol,4/2,Campus,16.208819,8.118735,75.284881,61035501_R4.png
60,35,10,60,0.4,VAV,Glycol,4/2,Campus,17.385975,8.367842,83.027862,61035601_R4.png
40,45,10,60,0.4,VAV,Glycol,4/2,Campus,15.903238,8.601986,69.8519,61045401_R4.png
50,45,10,60,0.4,VAV,Glycol,4/2,Campus,16.987231,8.775077,77.350577,61045501_R4.png
60,45,10,60,0.4,VAV,Glycol,4/2,Campus,18.071224,8.948169,84.849252,61045601_R4.png
40,55,10,60,0.4,VAV,Glycol,4/2,Campus,16.759706,9.322683,72.313144,61055401_R4.png
50,55,10,60,0.4,VAV,Glycol,4/2,Campus,17.751975,9.420974,79.543837,61055501_R4.png
60,55,10,60,0.4,VAV,Glycol,4/2,Campus,18.744243,9.519266,86.774534,61055601_R4.png
40,35,30,60,0.4,VAV,Glycol,4/2,Campus,14.380658,7.275819,66.09874,63035401_R4.png
50,35,30,60,0.4,VAV,Glycol,4/2,Campus,15.644153,7.587064,74.02647,63035501_R4.png
60,35,30,60,0.4,VAV,Glycol,4/2,Campus,16.907648,7.898309,81.954199,63035601_R4.png
40,45,30,60,0.4,VAV,Glycol,4/2,Campus,15.046622,7.84722,67.881565,63045401_R4.png
50,45,30,60,0.4,VAV,Glycol,4/2,Campus,16.2391,8.099287,75.621628,63045501_R4.png
60,45,30,60,0.4,VAV,Glycol,4/2,Campus,17.431578,8.351355,83.361689,63045601_R4.png
40,55,30,60,0.4,VAV,Glycol,4/2,Campus,15.699756,8.409492,69.782182,63055401_R4.png
50,55,30,60,0.4,VAV,Glycol,4/2,Campus,16.821886,8.603332,77.314963,63055501_R4.png
60,55,30,60,0.4,VAV,Glycol,4/2,Campus,17.944015,8.797172,84.847747,63055601_R4.png
40,35,50,60,0.4,VAV,Glycol,4/2,Campus,13.729653,6.68201,64.655578,65035401_R4.png
50,35,50,60,0.4,VAV,Glycol,4/2,Campus,15.079487,7.055393,72.768058,65035501_R4.png
