in:LabR[%],in:FFR [%],in:UnderGrnd [%],in:GlzR [%],in:Uvalue [IP],in:HVAC,in:HeatRecov,in:LabACH,in:Plant,out:PeakCool [Btu/h-sf],out:PeakHeat [Btu/h-sf],out:EUI [kBtu/sf],img
50,55,30,80,0.4,RadSlab,Glycol,6/3,Campus,17.529128,9.769135,81.668303,83055501_R4.png
60,55,30,80,0.4,RadSlab,Glycol,6/3,Campus,18.631604,9.989563,91.594956,83055601_R4.png
40,35,50,80,0.4,RadSlab,Glycol,6/3,Campus,14.195216,7.435379,67.206676,85035401_R4.png
50,35,50,80,0.4,RadSlab,Glycol,6/3,Campus,15.554508,7.875391,77.651074,85035501_R4.png
60,35,50,80,0.4,RadSlab,Glycol,6/3,Campus,16.913799,8.315402,88.095473,85035601_R4.png
40,45,50,80,0.4,RadSlab,Glycol,6/3,Campus,14.694043,7.935013,68.419016,85045401_R4.png
50,45,50,80,0.4,RadSlab,Glycol,6/3,Campus,15.998448,8.323459,78.726503,85045501_R4.png
60,45,50,80,0.4,RadSlab,Glycol,6/3,Campus,17.302854,8.711906,89.033988,85045601_R4.png
40,55,50,80,0.4,RadSlab,Glycol,6/3,Campus,15.180299,8.424701,69.733865,85055401_R4.png
50,55,50,80,0.4,RadSlab,Glycol,6/3,Campus,16.4317,8.762607,79.89234,85055501_R4.png
60,55,50,80,0.4,RadSlab,Glycol,6/3,Campus,17.683101,9.100513,90.050817,85055601_R4.png
40,35,10,20,0.25,VAV,Knvkta,6/3,Campus,12.388083,5.244364,74.778144,21035401_R4.png
50,35,10,20,0.25,VAV,Knvkta,6/3,Campus,13.524263,5.399347,86.11471,21035501_R4.png
60,35,10,20,0.25,VAV,Knvkta,6/3,Campus,14.660443,5.554331,97.451277,21035601_R4.png
40,45,10,20,0.25,VAV,Knvkta,6/3,Campus,12.700352,5.553978,75.452501,21045401_R4.png
50,45,10,20,0.25,VAV,Knvkta,6/3,Campus,13.79452,5.676814,86.699835,21045501_R4.png
60,45,10,20,0.25,VAV,Knvkta,6/3,Campus,14.888689,5.799649,97.947167,21045601_R4.png
40,55,10,20,0.25,VAV,Knvkta,6/3,Campus,12.969245,5.861247,76.237678,21055401_R4.png
50,55,10,20,0.25,VAV,Knvkta,6/3,Campus,14.020075,5.952181,87.381395,21055501_R4.png
60,55,10,20,0.25,VAV,Knvkta,6/3,Campus,15.070905,6.043114,98.525114,21055601_R4.png
40,35,30,20,0.25,VAV,Knvkta,6/3,Campus,12.099824,5.003679,74.234472,23035401_R4.png
50,35,30,20,0.25,VAV,Knvkta,6/3,Campus,13.27527,5.184151,85.652837,23035501_R4.png
60,35,30,20,0.25,VAV,Knvkta,6/3,Campus,14.450715,5.364622,97.071203,23035601_R4.png
40,45,30,20,0.25,VAV,Knvkta,6/3,Campus,12.330773,5.246281,74.74314,23045401_R4.png
50,45,30,20,0.25,VAV,Knvkta,6/3,Campus,13.474986,5.401693,86.094658,23045501_R4.png
60,45,30,20,0.25,VAV,Knvkta,6/3,Campus,14.619199,5.557105,97.446173,23045601_R4.png
40,55,30,20,0.25,VAV,Knvkta,6/3,Campus,12.526904,5.486997,75.33677,23055401_R4.png
50,55,30,20,0.25,VAV,Knvkta,6/3,Campus,13.638402,5.617547,86.609156,23055501_R4.png
60,55,30,20,0.25,VAV,Knvkta,6/3,Campus,14.7499,5.748097,97.881545,23055601_R4.png
40,35,50,20,0.25,VAV,Knvkta,6/3,Campus,11.811566,4.762995,73.690797,25035401_R4.png
50,35,50,20,0.25,VAV,Knvkta,6/3,Campus,13.026277,4.968954,85.190963,25035501_R4.png
60,35,50,20,0.25,VAV,Knvkta,6/3,Campus,14.240988,5.174914,96.69113,25035601_R4.png
40,45,50,20,0.25,VAV,Knvkta,6/3,Campus,11.961194,4.938583,74.033778,25045401_R4.png
50,45,50,20,0.25,VAV,Knvkta,6/3,Campus,13.155451,5.126572,85.48948,25045501_R4.png
60,45,50,20,0.25,VAV,Knvkta,6/3,Campus,14.349709,5.314561,96.945181,25045601_R4.png
40,55,50,20,0.25,VAV,Knvkta,6/3,Campus,12.084563,5.112748,74.435862,25055401_R4.png
50,55,50,20,0.25,VAV,Knvkta,6/3,Campus,13.256729,5.282914,85.836918,25055501_R4.png
60,55,50,20,0.25,VAV,Knvkta,6/3,Campus,14.428895,5.453081,97.237974,25055601_R4.png
40,35,10,40,0.25,VAV,Knvkta,6/3,Campus,13.59447,5.93152,75.543958,41035401_R4.png
50,35,10,40,0.25,VAV,Knvkta,6/3,Campus,14.744992,6.11087,86.647779,41035501_R4.png
60,35,10,40,0.25,VAV,Knvkta,6/3,Campus,15.895513,6.29022,97.751599,41035601_R4.png
40,45,10,40,0.25,VAV,Knvkta,6/3,Campus,14.161744,6.353887,77.006894,41045401_R4.png
50,45,10,40,0.25,VAV,Knvkta,6/3,Campus,15.242662,6.489374,87.968789,41045501_R4.png
60,45,10,40,0.25,VAV,Knvkta,6/3,Campus,16.323579,6.624861,98.930682,41045601_R4.png
40,55,10,40,0.25,VAV,Knvkta,6/3,Campus,14.799311,6.77204,78.434695,41055401_R4.png
50,55,10,40,0.25,VAV,Knvkta,6/3,Campus,15.810843,6.864105,89.238444,41055501_R4.png
60,55,10,40,0.25,VAV,Knvkta,6/3,Campus,16.822374,6.956169,100.042194,41055601_R4.png
40,35,30,40,0.25,VAV,Knvkta,6/3,Campus,13.145009,5.598272,74.772083,43035401_R4.png
50,35,30,40,0.25,VAV,Knvkta,6/3,Campus,14.35833,5.81273,85.994916,43035501_R4.png
60,35,30,40,0.25,VAV,Knvkta,6/3,Campus,15.571651,6.027188,97.217753,43035601_R4.png
40,45,30,40,0.25,VAV,Knvkta,6/3,Campus,13.574295,5.92857,75.894089,43045401_R4.png
50,45,30,40,0.25,VAV,Knvkta,6/3,Campus,14.734923,6.108857,87.009094,43045501_R4.png
60,45,30,40,0.25,VAV,Knvkta,6/3,Campus,15.89555,6.289143,98.124096,43045601_R4.png
40,55,30,40,0.25,VAV,Knvkta,6/3,Campus,14.057172,6.25553,76.987539,43055401_R4.png
50,55,30,40,0.25,VAV,Knvkta,6/3,Campus,15.164826,6.401994,87.980999,43055501_R4.png
60,55,30,40,0.25,VAV,Knvkta,6/3,Campus,16.27248,6.548458,98.97446,43055601_R4.png
40,35,50,40,0.25,VAV,Knvkta,6/3,Campus,12.695548,5.265024,74.000205,45035401_R4.png
50,35,50,40,0.25,VAV,Knvkta,6/3,Campus,13.971669,5.514589,85.342056,45035501_R4.png
60,35,50,40,0.25,VAV,Knvkta,6/3,Campus,15.247789,5.764155,96.683908,45035601_R4.png
40,45,50,40,0.25,VAV,Knvkta,6/3,Campus,12.986846,5.503253,74.781283,45045401_R4.png
50,45,50,40,0.25,VAV,Knvkta,6/3,Campus,14.227184,5.728339,86.049399,45045501_R4.png
60,45,50,40,0.25,VAV,Knvkta,6/3,Campus,15.467522,5.953426,97.31751,45045601_R4.png
40,55,50,40,0.25,VAV,Knvkta,6/3,Campus,13.315033,5.73902,75.540381,45055401_R4.png
50,55,50,40,0.25,VAV,Knvkta,6/3,Campus,14.518809,5.939883,86.723554,45055501_R4.png
60,55,50,40,0.25,VAV,Knvkta,6/3,Campus,15.722585,6.140747,97.906729,45055601_R4.png
40,35,10,60,0.25,VAV,Knvkta,6/3,Campus,14.886698,6.60284,76.97997,61035401_R4.png
50,35,10,60,0.25,VAV,Knvkta,6/3,Campus,16.056801,6.806012,87.876148,61035501_R4.png
60,35,10,60,0.25,VAV,Knvkta,6/3,Campus,17.226903,7.009184,98.772328,61035601_R4.png
40,45,10,60,0.25,VAV,Knvkta,6/3,Campus,15.746014,7.133454,78.780862,61045401_R4.png
50,45,10,60,0.25,VAV,Knvkta,6/3,Campus,16.823994,7.281518,89.479279,61045501_R4.png
60,45,10,60,0.25,VAV,Knvkta,6/3,Campus,17.901974,7.429581,100.177693,61045601_R4.png
40,55,10,60,0.25,VAV,Knvkta,6/3,Campus,16.591408,7.657429,80.65615,61055401_R4.png
50,55,10,60,0.25,VAV,Knvkta,6/3,Campus,17.578746,7.751077,91.151238,61055501_R4.png
60,55,10,60,0.25,VAV,Knvkta,6/3,Campus,18.566084,7.844724,101.646329,61055601_R4.png
40,35,30,60,0.25,VAV,Knvkta,6/3,Campus,14.254355,6.17917,75.849791,63035401_R4.png
50,35,30,60,0.25,VAV,Knvkta,6/3,Campus,15.508975,6.426846,86.90133,63035501_R4.png
60,35,30,60,0.25,VAV,Knvkta,6/3,Campus,16.763595,6.674522,97.952872,63035601_R4.png
40,45,30,60,0.25,VAV,Knvkta,6/3,Campus,14.910784,6.59366,77.234652,63045401_R4.png
50,45,30,60,0.25,VAV,Knvkta,6/3,Campus,16.095197,6.798419,88.134934,63045501_R4.png
60,45,30,60,0.25,VAV,Knvkta,6/3,Campus,17.27961,7.003177,99.035211,63045601_R4.png
40,55,30,60,0.25,VAV,Knvkta,6/3,Campus,15.555305,7.002926,78.676148,63055401_R4.png
50,55,30,60,0.25,VAV,Knvkta,6/3,Campus,16.670211,7.165311,89.419742,63055501_R4.png
60,55,30,60,0.25,VAV,Knvkta,6/3,Campus,17.785118,7.327697,100.163339,63055601_R4.png
40,35,50,60,0.25,VAV,Knvkta,6/3,Campus,13.622012,5.7555,74.719612,65035401_R4.png
50,35,50,60,0.25,VAV,Knvkta,6/3,Campus,14.96115,6.04768,85.926513,65035501_R4.png
60,35,50,60,0.25,VAV,Knvkta,6/3,Campus,16.300288,6.33986,97.133415,65035601_R4.png
40,45,50,60,0.25,VAV,Knvkta,6/3,Campus,14.075554,6.053866,75.688444,65045401_R4.png
50,45,50,60,0.25,VAV,Knvkta,6/3,Campus,15.3664,6.315319,86.790588,65045501_R4.png
60,45,50,60,0.25,VAV,Knvkta,6/3,Campus,16.657246,6.576773,97.892729,65045601_R4.png
40,55,50,60,0.25,VAV,Knvkta,6/3,Campus,14.519201,6.348422,76.696146,65055401_R4.png
50,55,50,60,0.25,VAV,Knvkta,6/3,Campus,15.761676,6.579546,87.688246,65055501_R4.png
60,55,50,60,0.25,VAV,Knvkta,6/3,Campus,17.004151,6.810669,98.680349,65055601_R4.png
40,35,10,80,0.25,VAV,Knvkta,6/3,Campus,16.171539,7.259993,78.425172,81035401_R4.png
50,35,10,80,0.25,VAV,Knvkta,6/3,Campus,17.365523,7.486497,89.148421,81035501_R4.png
60,35,10,80,0.25,VAV,Knvkta,6/3,Campus,18.559508,7.713,99.871673,81035601_R4.png
40,45,10,80,0.25,VAV,Knvkta,6/3,Campus,17.225571,7.894689,80.670364,81045401_R4.png
50,45,10,80,0.25,VAV,Knvkta,6/3,Campus,18.307284,8.055272,91.148375,81045501_R4.png
60,45,10,80,0.25,VAV,Knvkta,6/3,Campus,19.388998,8.215855,101.626384,81045601_R4.png
40,55,10,80,0.25,VAV,Knvkta,6/3,Campus,18.258487,8.519768,83.056943,81055401_R4.png
50,55,10,80,0.25,VAV,Knvkta,6/3,Campus,19.229842,8.615433,93.280821,81055501_R4.png
60,55,10,80,0.25,VAV,Knvkta,6/3,Campus,20.201196,8.711098,103.504702,81055601_R4.png
40,35,30,80,0.25,VAV,Knvkta,6/3,Campus,15.354083,6.747815,76.964686,83035401_R4.png
50,35,30,80,0.25,VAV,Knvkta,6/3,Campus,16.652381,7.028019,87.879437,83035501_R4.png
60,35,30,80,0.25,VAV,Knvkta,6/3,Campus,17.950678,7.308223,98.79419,83035601_R4.png
40,45,30,80,0.25,VAV,Knvkta,6/3,Campus,16.161959,7.243258,78.695114,83045401_R4.png
50,45,30,80,0.25,VAV,Knvkta,6/3,Campus,17.374378,7.472135,89.421682,83045501_R4.png
60,45,30,80,0.25,VAV,Knvkta,6/3,Campus,18.586796,7.701012,100.148245,83045601_R4.png
40,55,30,80,0.25,VAV,Knvkta,6/3,Campus,16.95233,7.73116,80.53428,83055401_R4.png
50,55,30,80,0.25,VAV,Knvkta,6/3,Campus,18.079907,7.909496,91.064646,83055501_R4.png
60,55,30,80,0.25,VAV,Knvkta,6/3,Campus,19.207484,8.087832,101.595015,83055601_R4.png
40,35,50,80,0.25,VAV,Knvkta,6/3,Campus,14.536628,6.235637,75.5042,85035401_R4.png
50,35,50,80,0.25,VAV,Knvkta,6/3,Campus,15.939238,6.569542,86.610454,85035501_R4.png
60,35,50,80,0.25,VAV,Knvkta,6/3,Campus,17.341849,6.903447,97.716709,85035601_R4.png
40,45,50,80,0.25,VAV,Knvkta,6/3,Campus,15.098347,6.591827,76.719866,85045401_R4.png
50,45,50,80,0.25,VAV,Knvkta,6/3,Campus,16.441471,6.888998,87.694985,85045501_R4.png
60,45,50,80,0.25,VAV,Knvkta,6/3,Campus,17.784594,7.18617,98.670106,85045601_R4.png
40,55,50,80,0.25,VAV,Knvkta,6/3,Campus,15.646173,6.942552,78.011619,85055401_R4.png
50,55,50,80,0.25,VAV,Knvkta,6/3,Campus,16.929972,7.203559,88.848471,85055501_R4.png
60,55,50,80,0.25,VAV,Knvkta,6/3,Campus,18.213771,7.464566,99.685326,85055601_R4.png
40,35,10,20,0.4,VAV,Knvkta,6/3,Campus,12.437126,5.69399,75.924585,21035401_R4.png
50,35,10,20,0.4,VAV,Knvkta,6/3,Campus,13.575351,5.86525,87.30477,21035501_R4.png
60,35,10,20,0.4,VAV,Knvkta,6/3,Campus,14.713577,6.03651,98.684955,21035601_R4.png
40,45,10,20,0.4,VAV,Knvkta,6/3,Campus,12.753602,6.077882,76.796333,21045401_R4.png
50,45,10,20,0.4,VAV,Knvkta,6/3,Campus,13.848823,6.209295,88.06555,21045501_R4.png
60,45,10,20,0.4,VAV,Knvkta,6/3,Campus,14.944044,6.340708,99.334764,21045601_R4.png
40,55,10,20,0.4,VAV,Knvkta,6/3,Campus,13.018636,6.45844,77.763311,21055401_R4.png
50,55,10,20,0.4,VAV,Knvkta,6/3,Campus,14.069657,6.550355,88.907403,21055501_R4.png
60,55,10,20,0.4,VAV,Knvkta,6/3,Campus,15.120678,6.64227,100.051499,21055601_R4.png
40,35,30,20,0.4,VAV,Knvkta,6/3,Campus,12.143739,5.392904,75.230507,23035401_R4.png
50,35,30,20,0.4,VAV,Knvkta,6/3,Campus,13.322218,5.595913,86.708888,23035501_R4.png
60,35,30,20,0.4,VAV,Knvkta,6/3,Campus,14.500697,5.798923,98.18727,23035601_R4.png
40,45,30,20,0.4,VAV,Knvkta,6/3,Campus,12.377959,5.693277,75.892701,23045401_R4.png
50,45,30,20,0.4,VAV,Knvkta,6/3,Campus,13.524434,5.865239,87.287328,23045501_R4.png
60,45,30,20,0.4,VAV,Knvkta,6/3,Campus,14.670908,6.037202,98.681955,23045601_R4.png
40,55,30,20,0.4,VAV,Knvkta,6/3,Campus,12.571089,5.990996,76.627732,23055401_R4.png
50,55,30,20,0.4,VAV,Knvkta,6/3,Campus,13.684178,6.132188,87.926499,23055501_R4.png
60,55,30,20,0.4,VAV,Knvkta,6/3,Campus,14.797268,6.27338,99.225271,23055601_R4.png
40,35,50,20,0.4,VAV,Knvkta,6/3,Campus,11.850352,5.091817,74.536427,25035401_R4.png
50,35,50,20,0.4,VAV,Knvkta,6/3,Campus,13.069084,5.326577,86.113005,25035501_R4.png
60,35,50,20,0.4,VAV,Knvkta,6/3,Campus,14.287817,5.561337,97.689585,25035601_R4.png
40,45,50,20,0.4,VAV,Knvkta,6/3,Campus,12.002317,5.308672,74.989068,25045401_R4.png
50,45,50,20,0.4,VAV,Knvkta,6/3,Campus,13.200045,5.521184,86.509108,25045501_R4.png
60,45,50,20,0.4,VAV,Knvkta,6/3,Campus,14.397772,5.733695,98.029146,25045601_R4.png
40,55,50,20,0.4,VAV,Knvkta,6/3,Campus,12.123542,5.523552,75.492154,25055401_R4.png
50,55,50,20,0.4,VAV,Knvkta,6/3,Campus,13.2987,5.714022,86.945596,25055501_R4.png
60,55,50,20,0.4,VAV,Knvkta,6/3,Campus,14.473857,5.904491,98.399044,25055601_R4.png
40,35,10,40,0.4,VAV,Knvkta,6/3,Campus,13.711372,6.800102,77.700642,41035401_R4.png
50,35,10,40,0.4,VAV,Knvkta,6/3,Campus,14.866758,7.010926,88.876825,41035501_R4.png
60,35,10,40,0.4,VAV,Knvkta,6/3,Campus,16.022144,7.221751,100.053008,41035601_R4.png
40,45,10,40,0.4,VAV,Knvkta,6/3,Campus,14.288567,7.363325,79.630493,41045401_R4.png
50,45,10,40,0.4,VAV,Knvkta,6/3,Campus,15.373174,7.515689,90.625776,41045501_R4.png
60,45,10,40,0.4,VAV,Knvkta,6/3,Campus,16.457782,7.668053,101.621058,41045601_R4.png
40,55,10,40,0.4,VAV,Knvkta,6/3,Campus,14.938394,7.919644,81.434176,41055401_R4.png
50,55,10,40,0.4,VAV,Knvkta,6/3,Campus,15.952467,8.014267,92.233007,41055501_R4.png
60,55,10,40,0.4,VAV,Knvkta,6/3,Campus,16.96654,8.10889,103.031838,41055601_R4.png
40,35,30,40,0.4,VAV,Knvkta,6/3,Campus,13.246219,6.350186,76.642963,43035401_R4.png
50,35,30,40,0.4,VAV,Knvkta,6/3,Campus,14.465895,6.608212,87.970445,43035501_R4.png
60,35,30,40,0.4,VAV,Knvkta,6/3,Campus,15.685571,6.866238,99.297929,43035601_R4.png
40,45,30,40,0.4,VAV,Knvkta,6/3,Campus,13.683221,6.790039,78.128127,43045401_R4.png
50,45,30,40,0.4,VAV,Knvkta,6/3,Campus,14.84929,7.00254,89.317466,43045501_R4.png
60,45,30,40,0.4,VAV,Knvkta,6/3,Campus,16.015359,7.215041,100.506803,43045601_R4.png
40,55,30,40,0.4,VAV,Knvkta,6/3,Campus,14.175634,7.224462,79.513928,43055401_R4.png
50,55,30,40,0.4,VAV,Knvkta,6/3,Campus,15.287835,7.392003,90.551929,43055501_R4.png
60,55,30,40,0.4,VAV,Knvkta,6/3,Campus,16.400037,7.559545,101.589931,43055601_R4.png
40,35,50,40,0.4,VAV,Knvkta,6/3,Campus,12.781066,5.900271,75.585283,45035401_R4.png
50,35,50,40,0.4,VAV,Knvkta,6/3,Campus,14.065032,6.205497,87.064066,45035501_R4.png
60,35,50,40,0.4,VAV,Knvkta,6/3,Campus,15.348998,6.510724,98.542851,45035601_R4.png
40,45,50,40,0.4,VAV,Knvkta,6/3,Campus,13.077875,6.216754,76.625762,45045401_R4.png
50,45,50,40,0.4,VAV,Knvkta,6/3,Campus,14.325406,6.489391,88.009155,45045501_R4.png
60,45,50,40,0.4,VAV,Knvkta,6/3,Campus,15.572936,6.762029,99.392548,45045601_R4.png
40,55,50,40,0.4,VAV,Knvkta,6/3,Campus,13.412874,6.529279,77.593682,45055401_R4.png
50,55,50,40,0.4,VAV,Knvkta,6/3,Campus,14.623204,6.769739,88.870852,45055501_R4.png
60,55,50,40,0.4,VAV,Knvkta,6/3,Campus,15.833535,7.0102,100.148025,45055601_R4.png
40,35,10,60,0.4,VAV,Knvkta,6/3,Campus,15.031663,7.869629,80.248362,61035401_R4.png
50,35,10,60,0.4,VAV,Knvkta,6/3,Campus,16.208819,8.118735,91.248206,61035501_R4.png
60,35,10,60,0.4,VAV,Knvkta,6/3,Campus,17.385975,8.367842,102.248052,61035601_R4.png
40,45,10,60,0.4,VAV,Knvkta,6/3,Campus,15.903238,8.601986,82.590143,61045401_R4.png
50,45,10,60,0.4,VAV,Knvkta,6/3,Campus,16.987231,8.775077,93.340597,61045501_R4.png
60,45,10,60,0.4,VAV,Knvkta,6/3,Campus,18.071224,8.948169,104.091049,61045601_R4.png
40,55,10,60,0.4,VAV,Knvkta,6/3,Campus,16.759706,9.322683,85.071705,61055401_R4.png
50,55,10,60,0.4,VAV,Knvkta,6/3,Campus,17.751975,9.420974,95.551814,61055501_R4.png
60,55,10,60,0.4,VAV,Knvkta,6/3,Campus,18.744243,9.519266,106.031924,61055601_R4.png
40,35,30,60,0.4,VAV,Knvkta,6/3,Campus,14.380658,7.275819,78.673336,63035401_R4.png
50,35,30,60,0.4,VAV,Knvkta,6/3,Campus,15.644153,7.587064,89.87587,63035501_R4.png
60,35,30,60,0.4,VAV,Knvkta,6/3,Campus,16.907648,7.898309,101.078404,63035601_R4.png
40,45,30,60,0.4,VAV,Knvkta,6/3,Campus,15.046622,7.84722,80.478888,63045401_R4.png
50,45,30,60,0.4,VAV,Knvkta,6/3,Campus,16.2391,8.099287,91.490008,63045501_R4.png
60,45,30,60,0.4,VAV,Knvkta,6/3,Campus,17.431578,8.351355,102.501125,63045601_R4.png
40,55,30,60,0.4,VAV,Knvkta,6/3,Campus,15.699756,8.409492,82.39193,63055401_R4.png
50,55,30,60,0.4,VAV,Knvkta,6/3,Campus,16.821886,8.603332,93.194239,63055501_R4.png
60,55,30,60,0.4,VAV,Knvkta,6/3,Campus,17.944015,8.797172,103.996551,63055601_R4.png
40,35,50,60,0.4,VAV,Knvkta,6/3,Campus,13.729653,6.68201,77.098309,65035401_R4.png
50,35,50,60,0.4,VAV,Knvkta,6/3,Campus,15.079487,7.055393,88.503533,65035501_R4.png
60,35,50,60,0.4,VAV,Knvkta,6/3,Campus,16.42932,7.428777,99.908757,65035601_R4.png
40,45,50,60,0.4,VAV,Knvkta,6/3,Campus,14.190007,7.092455,78.367636,65045401_R4.png
50,45,50,60,0.4,VAV,Knvkta,6/3,Campus,15.490969,7.423498,89.63942,65045501_R4.png
60,45,50,60,0.4,VAV,Knvkta,6/3,Campus,16.791932,7.75454,100.911202,65045601_R4.png
40,55,50,60,0.4,VAV,Knvkta,6/3,Campus,14.639806,7.496302,79.712156,65055401_R4.png
50,55,50,60,0.4,VAV,Knvkta,6/3,Campus,15.891796,7.78569,90.836666,65055501_R4.png
60,55,50,60,0.4,VAV,Knvkta,6/3,Campus,17.143786,8.075077,101.961177,65055601_R4.png
40,35,10,80,0.4,VAV,Knvkta,6/3,Campus,16.335428,8.907076,82.616728,81035401_R4.png
50,35,10,80,0.4,VAV,Knvkta,6/3,Campus,17.538454,9.193334,93.473426,81035501_R4.png
60,35,10,80,0.4,VAV,Knvkta,6/3,Campus,18.74148,9.479591,104.330123,81035601_R4.png
40,45,10,80,0.4,VAV,Knvkta,6/3,Campus,17.401905,9.799384,85.644868,81045401_R4.png
50,45,10,80,0.4,VAV,Knvkta,6/3,Campus,18.491379,9.993028,96.173987,81045501_R4.png
60,45,10,80,0.4,VAV,Knvkta,6/3,Campus,19.580853,10.186672,106.703105,81045601_R4.png
40,55,10,80,0.4,VAV,Knvkta,6/3,Campus,18.444641,10.674165,88.7502,81055401_R4.png
50,55,10,80,0.4,VAV,Knvkta,6/3,Campus,19.422643,10.777019,98.938302,81055501_R4.png
60,55,10,80,0.4,VAV,Knvkta,6/3,Campus,20.400644,10.879873,109.126408,81055601_R4.png
40,35,30,80,0.4,VAV,Knvkta,6/3,Campus,15.497403,8.173697,80.584548,83035401_R4.png
50,35,30,80,0.4,VAV,Knvkta,6/3,Campus,16.806695,8.536581,91.693034,83035501_R4.png
60,35,30,80,0.4,VAV,Knvkta,6/3,Campus,18.115987,8.899465,102.801518,83035601_R4.png
40,45,30,80,0.4,VAV,Knvkta,6/3,Campus,16.314957,8.869505,82.923936,83045401_R4.png
50,45,30,80,0.4,VAV,Knvkta,6/3,Campus,17.537374,9.160301,93.780194,83045501_R4.png
60,45,30,80,0.4,VAV,Knvkta,6/3,Campus,18.759792,9.451096,104.636449,83045601_R4.png
40,55,30,80,0.4,VAV,Knvkta,6/3,Campus,17.112966,9.551619,85.322132,83055401_R4.png
50,55,30,80,0.4,VAV,Knvkta,6/3,Campus,18.249675,9.771751,95.914614,83055501_R4.png
60,55,30,80,0.4,VAV,Knvkta,6/3,Campus,19.386384,9.991883,106.507097,83055601_R4.png
40,35,50,80,0.4,VAV,Knvkta,6/3,Campus,14.659377,7.440318,78.552369,85035401_R4.png
50,35,50,80,0.4,VAV,Knvkta,6/3,Campus,16.074935,7.879828,89.91264,85035501_R4.png
60,35,50,80,0.4,VAV,Knvkta,6/3,Campus,17.490494,8.319339,101.272913,85035601_R4.png
40,45,50,80,0.4,VAV,Knvkta,6/3,Campus,15.22801,7.939626,80.203005,85045401_R4.png
50,45,50,80,0.4,VAV,Knvkta,6/3,Campus,16.58337,8.327573,91.386401,85045501_R4.png
60,45,50,80,0.4,VAV,Knvkta,6/3,Campus,17.93873,8.715521,102.569794,85045601_R4.png
40,55,50,80,0.4,VAV,Knvkta,6/3,Campus,15.781291,8.429074,81.894064,85055401_R4.png
50,55,50,80,0.4,VAV,Knvkta,6/3,Campus,17.076708,8.766484,92.890923,85055501_R4.png
60,55,50,80,0.4,VAV,Knvkta,6/3,Campus,18.372124,9.103894,103.887786,85055601_R4.png
40,35,10,20,0.25,FCU,Knvkta,6/3,Campus,12.388083,5.244364,59.735152,21035401_R4.png
50,35,10,20,0.25,FCU,Knvkta,6/3,Campus,13.524263,5.399347,69.278558,21035501_R4.png
60,35,10,20,0.25,FCU,Knvkta,6/3,Campus,14.660443,5.554331,78.821963,21035601_R4.png
40,45,10,20,0.25,FCU,Knvkta,6/3,Campus,12.700352,5.553978,60.00923,21045401_R4.png
50,45,10,20,0.25,FCU,Knvkta,6/3,Campus,13.79452,5.676814,69.525506,21045501_R4.png
60,45,10,20,0.25,FCU,Knvkta,6/3,Campus,14.888689,5.799649,79.041781,21045601_R4.png
40,55,10,20,0.25,FCU,Knvkta,6/3,Campus,12.969245,5.861247,60.356784,21055401_R4.png
50,55,10,20,0.25,FCU,Knvkta,6/3,Campus,14.020075,5.952181,69.843115,21055501_R4.png
60,55,10,20,0.25,FCU,Knvkta,6/3,Campus,15.070905,6.043114,79.329447,21055601_R4.png
40,35,30,20,0.25,FCU,Knvkta,6/3,Campus,12.099824,5.003679,59.634647,23035401_R4.png
50,35,30,20,0.25,FCU,Knvkta,6/3,Campus,13.27527,5.184151,69.189872,23035501_R4.png
60,35,30,20,0.25,FCU,Knvkta,6/3,Campus,14.450715,5.364622,78.745099,23035601_R4.png
40,45,30,20,0.25,FCU,Knvkta,6/3,Campus,12.330773,5.246281,59.860888,23045401_R4.png
50,45,30,20,0.25,FCU,Knvkta,6/3,Campus,13.474986,5.401693,69.394208,23045501_R4.png
60,45,30,20,0.25,FCU,Knvkta,6/3,Campus,14.619199,5.557105,78.927526,23045601_R4.png
40,55,30,20,0.25,FCU,Knvkta,6/3,Campus,12.526904,5.486997,60.143833,23055401_R4.png
50,55,30,20,0.25,FCU,Knvkta,6/3,Campus,13.638402,5.617547,69.652882,23055501_R4.png
60,55,30,20,0.25,FCU,Knvkta,6/3,Campus,14.7499,5.748097,79.161934,23055601_R4.png
40,35,50,20,0.25,FCU,Knvkta,6/3,Campus,11.811566,4.762995,59.534141,25035401_R4.png
50,35,50,20,0.25,FCU,Knvkta,6/3,Campus,13.026277,4.968954,69.101188,25035501_R4.png
60,35,50,20,0.25,FCU,Knvkta,6/3,Campus,14.240988,5.174914,78.668234,25035601_R4.png
40,45,50,20,0.25,FCU,Knvkta,6/3,Campus,11.961194,4.938583,59.712548,25045401_R4.png
50,45,50,20,0.25,FCU,Knvkta,6/3,Campus,13.155451,5.126572,69.262909,25045501_R4.png
60,45,50,20,0.25,FCU,Knvkta,6/3,Campus,14.349709,5.314561,78.813269,25045601_R4.png
40,55,50,20,0.25,FCU,Knvkta,6/3,Campus,12.084563,5.112748,59.930882,25055401_R4.png
50,55,50,20,0.25,FCU,Knvkta,6/3,Campus,13.256729,5.282914,69.462649,25055501_R4.png
60,55,50,20,0.25,FCU,Knvkta,6/3,Campus,14.428895,5.453081,78.994418,25055601_R4.png
40,35,10,40,0.25,FCU,Knvkta,6/3,Campus,13.59447,5.93152,59.743847,41035401_R4.png
50,35,10,40,0.25,FCU,Knvkta,6/3,Campus,14.744992,6.11087,69.280816,41035501_R4.png
